pitchOutcome,Vel,PXNorm,PZNorm,x,y,pitchType,count,outs,inn,batterHand,pitcherHand,batter,pitcher,battingTeam,pitchingTeam,pitchOutcome,Vel,PXNorm,PZNorm,pitchType,count
SL,61.5,0.751093534067242,0.314952583171932,-0.751093534067242,0.314952583171932,Curveball,2-1,0,Bot 4,R,R,Acosta,Christian,UCSB,UCSD,SL,61.5,0.751093534067242,0.314952583171932,Curveball,2-1
Ball,60.3,1.47043716764769,1.39897562210209,-1.47043716764769,1.39897562210209,Riseball,2-2,1,Bot 4,R,R,Acosta,Christian,UCSB,UCSD,Ball,60.3,1.47043716764769,1.39897562210209,Riseball,2-2
Ball,62.0,1.0121991398199,1.35935612963438,-1.0121991398199,1.35935612963438,Riseball,3-2,1,Bot 4,R,R,Acosta,Christian,UCSB,UCSD,Ball,62.0,1.0121991398199,1.35935612963438,Riseball,3-2
Ball,59.6,-0.933376998820722,-1.63007904606206,0.933376998820722,-1.63007904606206,Dropball,0-0,1,Bot 4,L,R,Sams,Christian,UCSB,UCSD,Ball,59.6,-0.933376998820722,-1.63007904606206,Dropball,0-0
Ball,61.0,0.421902157694581,1.33374928792245,-0.421902157694581,1.33374928792245,Riseball,1-0,1,Bot 4,L,R,Sams,Christian,UCSB,UCSD,Ball,61.0,0.421902157694581,1.33374928792245,Riseball,1-0
Ball,61.5,-1.21659661088805,-0.860328169504151,1.21659661088805,-0.860328169504151,Dropball,2-0,1,Bot 4,L,R,Sams,Christian,UCSB,UCSD,Ball,61.5,-1.21659661088805,-0.860328169504151,Dropball,2-0
SL,50.9,-0.981309602154933,0.377148967820677,0.981309602154933,0.377148967820677,Changeup,3-0,1,Bot 4,L,R,Sams,Christian,UCSB,UCSD,SL,50.9,-0.981309602154933,0.377148967820677,Changeup,3-0
Ball,62.3,0.683240230670997,1.19897530574473,-0.683240230670997,1.19897530574473,Fastball,3-1,1,Bot 4,L,R,Sams,Christian,UCSB,UCSD,Ball,62.3,0.683240230670997,1.19897530574473,Fastball,3-1
Ball,60.8,0.746009650035268,1.31069123835383,-0.746009650035268,1.31069123835383,Riseball,0-0,1,Bot 4,R,R,Fuentes,Christian,UCSB,UCSD,Ball,60.8,0.746009650035268,1.31069123835383,Riseball,0-0
Ball,61.8,0.386084784641589,-1.55058657407313,-0.386084784641589,-1.55058657407313,Dropball,1-0,1,Bot 4,R,R,Fuentes,Christian,UCSB,UCSD,Ball,61.8,0.386084784641589,-1.55058657407313,Dropball,1-0
